"","growth"
"X1201710777",0.123063264167328
"X1201715485",0.144441662670748
"X1201715486",0.122667684209528
"X1201715487",0.127271808785031
"X1201715488",0.128515593078118
"X1201715491",0.129221981434738
"X1201715492",0.114709666618503
"X1201715493",0.121861272527842
"X1201715494",0.125115999955323
"X1201715495",0.137293703512642
"X1201715496",0.123089415869585
"X1201715497",0.126356080747599
"X1201715498",0.12954357036975
"X1201715499",0.126059322058284
"X1201715502",0.127350968853648
"X1201715511",0.121523291708936
"X1201715512",0.843843554835045
"X1201715513",0.129591100211894
"X1201715515",0.125056804220797
"X1201715518",0.126301294082024
"X1201715519",0.137707318244334
"X1201715520",0.85808371960614
"X1201715524",0.118591204493919
"X1201715525",0.128387783265599
"X1201715526",0.126918329075334
"X1201715527",0.8150055567096
"X1201715528",0.127213965194481
"X1201715530",0.892197816297963
"X1201715531",0.138032386501745
"X1201715533",0.127098952990012
"X1201715534",0.132362860742734
"X1201715535",0.128844815293968
"X1201715536",0.826585289532568
"X1201715538",0.124244150740649
"X1201715540",0.12521088384412
"X1201715541",0.125199517464671
"X1201715543",0.13269203510656
"X1201715545",0.127833715441739
"X1201715546",0.145106656341498
"X1201715547",0.119483008046673
"X1201715548",0.139883690016135
"X1201715549",0.140339184328531
"X1201715550",0.128187738906403
"X1201715551",0.829238992421021
"X1201715552",0.15486730024411
"X1201715553",0.126981053027081
"X1201715554",0.118286154410884
"X1201715555",0.830078042155381
"X1201715557",0.113810439134385
"X1201715558",0.127955078211867
"X1201710778",0.124865890044977
"X1201710780",0.121560150593948
"X1201710785",0.835591854563638
"X1201710787",0.115317193712748
"X1201710790",0.140175490864675
"X1201715559",0.123965712807241
"X1201715562",0.118364701622819
"X1201715564",0.129600672727353
"X1201715565",0.129653599530354
"X1201715566",0.12569754672261
"X1201715567",0.130118984272216
"X1201715568",0.130308806967019
"X1201715570",0.178671974962349
"X1201715571",0.126144958336132
"X1201715572",0.126788714542028
"X1201715573",0.128624747674312
"X1201715574",0.128892673129419
"X1201715575",0.121479467832599
"X1201715577",0.827205316119772
"X1201715578",0.125587334468183
"X1201715579",0.123770358182782
"X1201715580",0.123987643133703
"X1201715581",0.122064176225337
"X1201715582",0.135120915199876
"X1201715583",0.126207235067173
"X1201715585",0.124781482026024
"X1201715586",0.126481561984666
"X1201715587",0.154354878847621
"X1201715588",0.823522791676154
"X1201715589",0.125294603272422
"X1201715590",0.124604268603285
"X1201715591",0.120609281892268
"X1201715592",0.125381263766708
"X1201715593",0.133050012218721
"X1201715594",0.124142955587745
"X1201715595",0.119840318611426
"X1201715596",0.821678424531695
"X1201715597",0.140304777342429
"X1201715598",0.11828541219777
"X1201715599",0.12796643048821
"X1201715600",0.822836507019437
"X1201715601",0.165016508449993
"X1201715603",0.133729015478498
"X1201715605",0.139665791462705
"X1201715607",0.128612568238887
